Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grenada,2260,2270,2410,2320,2260,2290,2310,2330,2360,,
Greenland,,,,,,,,,,,
Guatemala,26450,27070,27780,28900,30120,32990,34310,33570,35400,,
Guam,,,,,,,,,,,
Guyana,4010,4100,4360,4520,4730,4830,4720,4830,5040,,
High income,15434780,15287650,15138710,15164560,15013220,14971270,14848520,14841780,14899650,,
"Hong Kong SAR, China",,,,,,,,,,,
Honduras,18890,19920,20300,20880,21120,21560,21500,21300,22400,,
Heavily indebted poor countries (HIPC),1102370,1142330,1193890,1242730,1287320,1340890,1384290,1400670,1427120,,
Croatia,26180,25890,23950,22830,22100,22690,22730,23400,22550,,
Haiti,8570,8970,8710,9000,9360,9680,9890,9900,9930,,
Hungary,62090,61350,57470,55130,55400,58330,58960,60880,60920,,
IBRD only,24314520,25612840,26265630,26829890,27090890,27068200,27222310,27745020,28366540,,
IDA & IBRD total,26836730,28208270,28909410,29542690,29874230,29916640,30173010,30772000,31474040,,
IDA total,2522210,2595430,2643780,2712800,2783340,2848440,2950700,3026980,3107500,,
IDA blend,1005440,1041260,1037850,1068870,1089110,1102750,1147290,1180180,1223330,,
Indonesia,762400,822480,827220,796880,845070,852000,866360,912420,969580,,
IDA only,1516770,1554170,1605930,1643930,1694230,1745690,1803410,1846800,1884170,,
Isle of Man,,,,,,,,,,,
India,2564130,2671200,2814000,2875980,3048790,3063650,3103110,3229920,3374990,,
Not classified,,,,,,,,,,,
Ireland,65040,60650,62310,61380,61540,63350,65880,65250,65090,,
"Iran, Islamic Rep.",743550,750700,761050,781950,794190,786500,795970,814730,828280,,
Iraq,141410,153590,175600,186900,193680,185770,197300,200790,215690,,
Iceland,3260,3070,3060,3220,3290,3330,3300,3420,3440,,
Israel,89320,89590,96710,88550,87150,89510,89420,91060,87830,,
Italy,485460,474590,456710,424930,405240,416150,411450,405770,399600,,
Jamaica,8860,9010,8570,9050,8890,8780,9230,8690,10020,,
Jordan,27430,28550,32120,32420,34680,34970,35070,36740,35810,,
Japan,1228240,1284770,1327040,1338630,1300990,1265070,1257730,1235370,1186770,,
Kazakhstan,277300,294130,294140,307440,258090,259340,274520,283580,274220,,
Kenya,64700,67080,66430,68440,71370,73990,79550,76750,78830,,
Kyrgyz Republic,12330,13750,16340,15870,16410,16960,16510,16240,18120,,
Cambodia,29060,30580,30310,30600,31550,33720,35390,37840,37460,,
Kiribati,80,80,80,90,90,90,100,100,110,,
St. Kitts and Nevis,350,370,450,330,340,350,350,350,370,,
"Korea, Rep.",646420,670790,675290,675000,664250,685800,696930,710340,718880,,
Kuwait,89240,93590,97460,100560,100320,106220,109840,111460,112970,,
Latin America & Caribbean (excluding high income),2843280,2898600,2960640,3012000,3054130,3058020,3044260,3029680,3002190,,
Lao PDR,12360,12120,13110,13810,14480,19020,26150,29200,29270,,
Lebanon,25060,25760,28360,28350,30310,32660,33790,35600,34350,,
Liberia,5060,5820,6560,7130,8110,8910,9080,9020,9200,,
Libya,145810,115160,117930,109150,102270,84880,86620,96580,103040,,
St. Lucia,700,680,830,640,690,710,690,710,740,,
Latin America & Caribbean,3005820,3070480,3136970,3189730,3223830,3232260,3220170,3205980,3178850,,
Least developed countries: UN classification,1402010,1441370,1497210,1553150,1607010,1658470,1713490,1747540,1772600,,
Low income,981380,982520,1007320,1011280,1040790,1050770,1087770,1093660,1108360,,
Liechtenstein,230,210,220,230,200,190,190,190,180,,
Sri Lanka,25590,28490,29860,27740,30600,33900,35290,35920,35240,,
Lower middle income,7234560,7514210,7719030,7844500,8134560,8227670,8411170,8665610,9007720,,
Low & middle income,26382720,27734410,28443740,29068970,29424970,29452000,29701630,30275860,30974200,,
Lesotho,4900,5100,5280,5280,5390,5390,5420,5780,5850,,
Late-demographic dividend,16740450,17778890,18217950,18722310,18733120,18755290,18789010,19080610,19448630,,
Lithuania,20520,19980,19900,19000,18550,18800,18820,18730,18840,,
Luxembourg,11980,11830,11580,11050,10560,10050,9770,9920,10220,,
Latvia,12390,11750,11540,11490,11440,11500,11340,11260,11660,,
"Macao SAR, China",,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,
Morocco,77020,82170,84440,85260,87050,89790,88660,93090,94290,,
Monaco,,,,,,,,,,,
Moldova,12530,12690,12450,11590,12220,12470,12670,12700,13180,,
Madagascar,29190,29120,30480,29200,29680,30000,31000,29620,30570,,
Maldives,1140,1220,1380,1390,1650,1660,2120,2230,2380,,
Middle East & North Africa,2846690,2884970,3008480,3052650,3138920,3171900,3216500,3275640,3305530,,
Mexico,650160,664660,659240,652690,645940,670100,682910,678120,679880,,
Marshall Islands,180,180,180,180,190,190,220,220,240,,
Middle income,25401340,26751890,27436420,28057690,28384180,28401230,28613860,29182200,29865840,,
North Macedonia,11750,12690,12120,11240,10820,10560,10530,11010,10510,,
Mali,31800,32760,33430,34620,35190,36670,41040,42140,43740,,
Malta,2990,2980,3160,2830,2840,2160,1870,2010,2040,,
Myanmar,90150,88990,92790,96110,101600,104970,109430,119660,119650,,
Middle East & North Africa (excluding high income),1781760,1778740,1829400,1842530,1872290,1845120,1871850,1921440,1970250,,
Montenegro,4180,4030,3790,3660,3560,3650,3400,3520,3800,,
Mongolia,32050,35710,39140,41590,44130,45710,48090,50880,52620,,
Northern Mariana Islands,,,,,,,,,,,
Mozambique,28230,27960,29190,30630,32470,32910,31910,32410,35040,,
Mauritania,11100,11220,11670,11670,12150,12830,13250,13920,14080,,
Mauritius,5780,5830,5990,6120,6330,6370,6530,6720,6740,,
Malawi,11670,12440,13120,13960,14900,15820,16190,16950,18320,,
Malaysia,259160,263030,265900,282940,296240,297970,294860,289730,306670,,
North America,7116780,6904190,6662950,6814090,6841350,6711580,6602470,6552170,6748550,,
Namibia,12920,17900,19490,12700,11970,12100,12840,12890,11930,,
New Caledonia,,,,,,,,,,,
Niger,29670,31290,33750,35580,37810,39610,41330,43050,45050,,
Nigeria,234930,253110,257540,271940,281650,277140,284340,291170,311450,,
