Malta,5.774,6.155,5.963,6.38,6.452,6.613,6.591,6.676,6.91,6.733,6.602
Mauritania,4.772,4.785,4.673,4.199,4.483,3.923,4.472,4.678,4.314,4.153,4.227
Mexico,6.802,6.91,7.32,7.443,6.68,6.236,6.824,6.41,6.55,6.432,6.317
Moldova,5.59,5.792,5.996,5.756,5.917,6.017,5.578,5.326,5.682,5.803,5.766
Mongolia,4.586,5.031,4.885,4.913,4.825,4.983,5.057,5.334,5.465,5.563,5.677
Montenegro,5.455,5.223,5.219,5.074,5.283,5.125,5.304,5.615,5.65,5.386,5.581
Nepal,4.35,3.809,4.233,4.605,4.975,4.812,5.1,4.737,4.91,5.449,5.269
Netherlands,7.502,7.564,7.471,7.407,7.321,7.324,7.541,7.459,7.463,7.425,7.464
New Zealand,7.224,7.191,7.25,7.28,7.306,7.418,7.226,7.327,7.37,7.205,7.277
Nicaragua,5.687,5.386,5.448,5.772,6.275,5.924,6.013,6.476,5.819,6.113,5.972
Niger,4.101,4.556,3.798,3.716,4.181,3.671,4.235,4.616,5.164,5.004,5.074
North Macedonia,4.18,4.898,4.64,5.186,5.204,4.976,5.346,5.234,5.24,5.015,5.101
Pakistan,5.786,5.267,5.132,5.138,5.436,4.823,5.549,5.831,5.472,4.443,4.934
Palestinian Territories,4.703,4.751,4.647,4.844,4.722,4.695,4.907,4.628,4.554,4.483,4.517
Panama,7.321,7.248,6.86,6.866,6.631,6.606,6.118,6.568,6.281,6.086,6.18
Peru,5.613,5.892,5.825,5.783,5.866,5.577,5.701,5.711,5.68,5.999,5.84
Philippines,4.942,4.994,5.002,4.977,5.313,5.547,5.431,5.594,5.869,6.268,5.88
Poland,5.887,5.646,5.876,5.746,5.75,6.007,6.162,6.201,6.111,6.242,6.166
Portugal,5.095,5.22,4.994,5.158,5.127,5.081,5.447,5.711,5.92,6.095,5.929
Romania,4.909,5.023,5.167,5.082,5.727,5.777,5.969,6.09,6.151,6.13,6.14
Russia,5.385,5.389,5.621,5.537,6.037,5.996,5.855,5.579,5.514,5.441,5.477
Saudi Arabia,6.307,6.7,6.396,6.495,6.278,6.345,6.474,6.294,6.356,6.561,6.494
Senegal,4.372,3.834,3.669,3.647,4.395,4.617,4.595,4.683,4.769,5.489,5.132
Serbia,4.461,4.815,5.155,5.102,5.113,5.318,5.753,5.122,5.936,6.241,6.078
Slovakia,6.052,5.945,5.911,5.937,6.139,6.162,5.993,6.366,6.235,6.243,6.331
Slovenia,6.083,6.036,6.063,5.975,5.678,5.741,5.937,6.167,6.249,6.665,6.461
South Africa,4.652,4.931,5.134,3.661,4.828,4.887,4.77,4.514,4.884,5.035,4.956
South Korea,6.116,6.947,6.003,5.959,5.801,5.78,5.971,5.874,5.84,5.903,5.845
Spain,6.188,6.518,6.291,6.15,6.456,6.381,6.319,6.23,6.513,6.457,6.491
Sweden,7.496,7.382,7.56,7.434,7.239,7.289,7.369,7.287,7.375,7.398,7.363
Taiwan Province of China,6.229,6.309,6.126,6.34,6.363,6.45,6.513,6.359,6.467,6.537,6.584
Tajikistan,4.381,4.263,4.497,4.967,4.896,5.124,5.104,5.829,5.497,5.464,5.466
Tanzania,3.229,4.074,4.007,3.852,3.483,3.661,2.903,3.347,3.445,3.64,3.623
Thailand,6.217,6.664,6.3,6.231,6.985,6.202,6.074,5.939,6.012,6.022,5.985
