Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,Class_k3,Class_k4
Afghanistan,-0.7596078991424884,-1.6709552468563804,-1.7065493862074896,-1.6964601080737431,-2.269123709800764,-1.5219282335620776,-1.3091836921429392,-2.7762992856238617,-2.879235336475171,-3.1342166443705337,0,1
Albania,-0.30573680578427453,0.19558805596766551,-0.09187824715390706,-0.8616769693561531,-0.727881895957729,-0.922989517394333,-1.0315312605672786,-0.9538962421690915,-0.6770886177407476,-0.6990723122103027,0,3
Argentina,0.7352356431703757,1.0293413052389466,0.8038107807634829,0.8701356503940255,0.9727039913307531,1.083071246693144,0.7965857803226347,0.3350531298193937,0.07507318359321845,0.31495152992206826,2,0
Armenia,-1.1060065809618684,-1.2783849600707826,-1.2044773528132948,-1.0953139254425879,-1.0584750598301802,-1.171587478111394,-1.2089998250795562,-1.2782065916615477,-0.6217966222054238,-0.24085622222748043,0,1
Australia,1.6314312071594907,1.607190091862607,1.4844596454021672,1.5369389338231934,1.5386501832232038,1.6704919106268934,1.5818364716861,1.4572406459609055,1.3944545942981714,1.3819537029449476,2,2
Austria,1.5008655501660317,1.6668094111174294,1.676125877889709,1.6520520326249037,1.2282039711656945,1.446849729750155,1.3891017940974975,1.4913300861064194,1.6032295429574093,1.345705371283021,2,2
Azerbaijan,-1.2383486414518368,-0.8931524356550091,-0.6519176289101876,-0.06867562205548057,-0.32677440073298236,-0.4046771668645542,-0.27490453122192265,-0.4821720974527906,-0.5207457338132815,-0.5336312087276612,1,3
Bangladesh,-0.6707877243170065,-0.6124830250092312,-0.8267546312280908,-0.7687338006940313,-0.8908890515513476,-0.8980337375540105,-0.9885953175401146,-1.2579371948182696,-1.1585103030051995,-0.588468428421346,0,1
Belarus,-0.07746895648278578,-0.3932673742107316,0.13157653120961701,0.2681367781421174,0.18605710001098683,0.14434998962254492,-0.39512517169798206,-0.11271627317303197,-0.45782725613515524,0.06864876350128105,1,3
Belgium,1.1020629651996172,1.3366101044753376,1.240435807942419,1.3152396324273066,1.1412057701466287,1.2817576477295591,1.2946427194377366,1.1541210295318767,1.122761167960808,0.95255038941135,2,2
Bolivia,0.14902248932219356,0.11487266989959859,0.3840149837541845,0.17519360947999554,0.23459293847425522,0.25473132353166383,0.16972101212604107,-0.02242532359842769,0.19233034653881784,-0.06797956353213587,1,0
Bosnia and Herzegovina,-0.8386578547371678,-0.6042280423431786,-0.7809417268774106,-0.3730858166644487,-0.3295217123441109,-0.43347229744954213,-0.392262775496171,-0.5392949431020304,0.16468434877115548,0.2498904218109168,1,3
Botswana,-1.829891005789548,-1.9571279792795264,-0.7220394212836777,-1.2223646789348461,-1.4449302264622428,-1.7340523622048205,-1.9971129126448322,-1.9996128520382341,-2.148046361033914,-2.1155455802302234,0,1
Brazil,1.0869635354792848,1.2696530228506917,0.9833225692396197,1.3459364587744291,1.256592857814021,0.9390955937682052,0.746970912824579,0.6059259785432074,0.4544906701976773,0.6541987365016417,2,2
Bulgaria,-1.5110265781660672,-1.631514774118575,-1.296103161514656,-1.337477777736557,-1.0722116178858225,-0.6753513943634387,-0.7195300745698873,-0.5328455895609867,-0.586524142294959,-0.5940450948308734,0,1
Burkina Faso,-1.4008895613824697,-0.7968443045510654,-1.5457367423642838,-1.9062217547790823,-1.9486040218357834,-1.1034390023935898,-1.3225415410847228,-0.9474468886280478,-0.7504935083652283,-0.9351511902136233,0,1
Cambodia,-1.3076283778157132,-1.369189769397358,-1.5980943473364904,-1.6094857667568951,-1.5804642659445771,-1.3501172877383176,-1.0792378639307938,-1.0036483980571382,-0.5645980061344001,-0.6962839790055391,0,1
Cameroon,-0.9408010557864717,-1.1187886285271047,-1.2745991451867857,-1.1004300631671085,-1.253534184220297,-0.5092994746566761,-0.7405209800498344,-0.5540363226244148,-0.4416209815816981,-0.7529800875023993,0,1
Canada,1.8090715568104552,1.6255344977871682,1.6892152791327608,1.7330575465964784,1.5523867412788463,1.7703150299881842,1.5770658113497487,1.6028117687444516,1.3925479737624706,1.2657731527464633,2,2
Chad,-1.661132673621132,-1.1563946606724544,-1.472810078295853,-1.7510322438019614,-1.967835203113682,-1.1955834202655498,-1.491422916991568,-1.028524476001162,-1.1709033364872545,-1.390578946991681,0,1
Chile,0.9084349840800662,0.8000362311819387,0.9262901781091805,1.0048606104730649,1.1311322942391577,0.9256578661618782,0.941613854547722,0.5939486076812701,0.6880516858210254,0.18111153609341424,2,0
China,-0.852869082709245,-0.5657047899016014,-0.47988549828722316,-0.2733211310362995,-0.3780575508073793,-0.25398265013645177,-0.25486775780924625,-0.5310029171206888,-0.5560182137237462,-0.5605850963737095,1,3
Colombia,0.7059249854779671,0.7431685728158012,0.7168597582203543,0.8914528909128612,0.7694029321072509,0.7864814016677705,0.6124382913394653,0.4437708037969789,0.2571554447526447,0.5603248519412665,2,0
Costa Rica,1.4724430942218774,1.4448420994302456,1.5555163950073052,1.361284871947991,1.5001878206674062,1.2337657634212464,1.473065416017285,1.4277578869161367,1.3601354246555573,1.1626048241702096,2,2
Croatia,-0.015294834104948035,-0.24651212681424628,0.3924295988390029,0.27581098472889765,-0.20864000145446057,-0.34900658106691146,-0.16708760762037808,-0.30619687940432705,-0.16992755524433484,-0.11259289480835388,1,3
Cyprus,0.6872727487646152,0.9504603597633365,0.5354780552809247,-0.10448858612712371,0.016639550658068124,-0.1244045625040073,0.19357431380779916,0.35624386288282184,0.5355220429649612,0.3623531944030492,1,0
