Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,LL_2021,Initial Temperature,2010_TEMP,2011_TEMP,2012_TEMP,2013_TEMP,2014_TEMP,2015_TEMP,2016_TEMP,2017_TEMP,2018_TEMP,2019_TEMP
Dominican Republic,4.735,5.397,4.753,5.016,5.387,5.062,5.239,5.605,5.433,6.004,5.545,25.68,26.66,26.423,26.983,26.563,26.76,27.155,26.51,26.573,26.469,26.992
Ecuador,5.838,5.795,5.961,6.019,5.946,5.964,6.115,5.84,6.128,5.809,5.764,21.57,22.292,22.481,22.646,22.03,22.73,22.925,22.408,22.687,21.97,22.798
Egypt,4.669,4.174,4.204,3.559,4.885,4.763,4.557,3.929,4.005,4.328,4.283,22.93,24.665,23.257,24.663,23.732,23.733,22.958,25.59,24.263,24.655,25.021
El Salvador,6.74,4.741,5.934,6.325,5.857,6.018,6.14,6.339,6.241,6.455,6.061,25.55,25.677,26.056,25.978,26.009,26.067,26.803,26.134,25.697,26.034,27.123
Finland,7.393,7.354,7.42,7.445,7.385,7.448,7.66,7.788,7.858,7.78,7.842,1.26,0.501,3.618,0.42,4.323,0.231,0.157,1.75,-0.031,0.876,2.667
France,6.798,6.959,6.649,6.667,6.467,6.358,6.475,6.635,6.666,6.69,6.69,12.96,14.161,14.014,14.26,13.123,14.674,14.91,13.888,16.041,14.968,15.425
Georgia,4.102,4.203,4.254,4.349,4.288,4.122,4.448,4.451,4.659,4.892,4.891,8.22,11.545,9.17,10.742,9.65,9.684,10.733,9.733,9.213,10.758,12.433
Germany,6.725,6.621,6.702,6.965,6.984,7.037,6.874,7.074,7.118,7.035,7.155,8.11,8.96,9.396,8.307,8.383,8.824,8.509,9.893,10.477,10.539,12.349
Ghana,4.606,5.608,5.057,4.965,3.86,3.986,4.514,5.481,5.004,4.967,5.088,26.82,27.94,27.886,27.33,27.731,27.914,28.063,27.736,27.659,27.473,27.815
Greece,5.84,5.372,5.096,4.72,4.756,5.623,5.303,5.148,5.409,5.952,5.723,14.83,15.817,15.649,17.44,15.827,15.618,14.915,16.931,16.678,16.056,17.234
Guatemala,6.29,5.743,5.856,5.985,6.536,6.465,6.359,6.325,6.627,6.262,6.435,23.57,23.993,23.883,23.758,23.763,23.691,24.107,24.119,23.773,23.718,24.831
Honduras,5.866,4.961,4.602,4.713,5.056,4.845,5.648,6.02,5.908,5.93,5.919,24.91,25.676,25.572,25.6,25.307,25.556,25.495,25.652,25.671,25.323,26.425
Hungary,4.725,4.918,4.683,4.914,5.181,5.344,5.449,6.065,5.936,6.0,5.992,9.87,10.696,11.417,12.14,10.765,10.564,11.22,11.814,12.702,11.918,13.977
India,4.989,4.635,4.72,4.428,4.424,4.342,4.179,4.046,3.818,3.249,3.819,24.19,24.937,23.728,25.389,23.507,25.671,24.124,24.858,24.304,24.599,25.762
Indonesia,5.457,5.173,5.368,5.292,5.597,5.043,5.136,5.098,5.34,5.347,5.345,25.59,26.48,26.051,26.087,26.753,26.587,26.531,26.732,26.382,26.473,26.444
Ireland,7.257,7.007,6.965,6.76,7.018,6.83,7.041,7.06,6.962,7.255,7.085,9.56,11.342,8.766,9.309,10.001,11.098,9.544,11.205,10.7,12.169,9.672
Israel,7.359,7.433,7.111,7.321,7.401,7.079,7.159,7.331,6.927,7.332,7.157,19.88,21.387,19.953,21.83,20.83,20.593,19.497,22.471,21.025,21.306,22.078
Italy,6.354,6.057,5.839,6.009,6.027,5.848,5.955,6.199,6.517,6.445,6.483,12.79,13.791,14.224,15.607,13.369,14.443,14.863,14.006,16.364,14.781,16.527
Japan,6.057,6.263,5.968,5.959,5.923,5.88,5.955,5.911,5.794,5.908,5.94,12.29,13.856,13.435,12.301,13.417,13.493,12.594,12.946,12.123,13.188,12.949
Jordan,5.57,5.539,5.132,5.172,5.333,5.405,5.271,4.808,4.639,4.453,4.395,19.84,21.479,20.127,22.125,20.746,20.272,19.429,22.303,21.048,21.111,22.309
Kazakhstan,5.514,5.736,5.759,5.835,5.97,5.95,5.534,5.882,6.008,6.272,6.152,5.51,8.131,6.5,8.092,6.043,7.35,8.462,5.977,6.539,5.454,5.971
Kenya,4.256,4.405,4.547,3.795,4.905,4.358,4.396,4.476,4.656,4.619,4.607,23.78,25.302,25.41,24.778,24.348,24.981,24.883,24.51,25.051,24.252,25.116
Kosovo,5.177,4.86,5.64,6.126,5.0,5.077,5.759,6.149,6.392,6.425,6.372,10.21,11.225,11.474,13.418,11.113,10.691,11.022,12.36,12.9,11.657,13.166
Kyrgyzstan,4.996,4.921,5.208,5.402,5.252,4.905,4.857,5.63,5.297,5.685,5.744,2.76,3.147,4.169,3.862,3.677,3.753,3.996,4.717,4.014,3.606,2.988
Lebanon,5.032,5.188,4.573,4.983,5.233,5.172,5.271,5.154,5.167,4.024,4.584,17.99,19.279,18.238,20.018,18.848,18.783,17.823,20.479,19.268,19.323,20.193
Lithuania,5.066,5.432,5.771,5.596,6.126,5.711,5.866,6.273,6.309,6.064,6.255,5.97,6.449,8.052,5.01,8.365,4.67,5.277,7.446,5.581,7.243,10.207
Luxembourg,7.097,7.101,6.964,7.131,6.891,6.702,6.967,7.061,7.243,7.404,7.324,9.19,10.718,10.431,9.297,9.385,10.349,10.254,10.316,12.433,11.549,12.728
Mali,3.762,4.667,4.313,3.676,3.975,4.582,4.016,4.742,4.416,4.988,4.723,28.64,29.507,29.869,29.461,30.084,29.812,30.243,30.135,29.602,29.819,30.36
Malta,5.774,6.155,5.963,6.38,6.452,6.613,6.591,6.676,6.91,6.733,6.602,18.33,18.892,18.955,20.706,18.624,19.663,19.075,19.658,20.588,19.375,21.234
Mauritania,4.772,4.785,4.673,4.199,4.483,3.923,4.472,4.678,4.314,4.153,4.227,27.65,28.364,29.542,28.894,29.078,29.107,29.573,29.418,29.362,28.622,29.333
Mexico,6.802,6.91,7.32,7.443,6.68,6.236,6.824,6.41,6.55,6.432,6.317,20.46,21.077,21.331,20.966,21.161,21.039,20.542,20.756,21.232,21.008,21.159
Moldova,5.59,5.792,5.996,5.756,5.917,6.017,5.578,5.326,5.682,5.803,5.766,9.3,10.719,10.3,12.35,11.054,9.015,10.598,11.059,10.94,11.241,13.075
Mongolia,4.586,5.031,4.885,4.913,4.825,4.983,5.057,5.334,5.465,5.563,5.677,-0.58,1.912,1.212,0.371,-0.501,-0.598,-0.523,-0.301,2.112,1.915,0.892
Montenegro,5.455,5.223,5.219,5.074,5.283,5.125,5.304,5.615,5.65,5.386,5.581,10.8,11.701,12.363,14.099,11.656,11.464,12.06,12.703,13.604,12.416,13.998
Nepal,4.35,3.809,4.233,4.605,4.975,4.812,5.1,4.737,4.91,5.449,5.269,14.41,15.503,13.691,16.459,14.159,15.727,15.123,14.832,15.047,15.279,15.692
Netherlands,7.502,7.564,7.471,7.407,7.321,7.324,7.541,7.459,7.463,7.425,7.464,9.64,10.534,10.657,9.302,9.529,10.335,9.69,11.206,12.215,11.647,12.535
New Zealand,7.224,7.191,7.25,7.28,7.306,7.418,7.226,7.327,7.37,7.205,7.277,10.59,11.05,12.234,10.667,11.34,12.658,11.367,12.517,11.331,11.136,11.21
Nicaragua,5.687,5.386,5.448,5.772,6.275,5.924,6.013,6.476,5.819,6.113,5.972,26.17,26.823,26.773,27.091,26.711,27.161,27.314,26.786,26.872,26.698,27.779
Niger,4.101,4.556,3.798,3.716,4.181,3.671,4.235,4.616,5.164,5.004,5.074,27.11,28.661,28.313,28.081,28.094,28.691,29.036,28.426,27.654,28.397,28.484
Macedonia,4.18,4.898,4.64,5.186,5.204,4.976,5.346,5.234,5.24,5.015,5.101,10.55,11.531,11.462,13.592,11.573,11.039,10.97,12.721,12.988,11.621,13.126
Pakistan,5.786,5.267,5.132,5.138,5.436,4.823,5.549,5.831,5.472,4.443,4.934,20.8,20.503,22.022,21.009,21.586,22.184,20.657,21.885,21.423,21.877,21.298
Panama,7.321,7.248,6.86,6.866,6.631,6.606,6.118,6.568,6.281,6.086,6.18,26.33,27.089,26.955,27.172,27.034,27.315,27.944,26.867,26.949,27.108,27.718
Peru,5.613,5.892,5.825,5.783,5.866,5.577,5.701,5.711,5.68,5.999,5.84,19.97,20.885,21.104,21.03,20.65,21.325,21.44,20.698,20.992,20.13,21.098
Philippines,4.942,4.994,5.002,4.977,5.313,5.547,5.431,5.594,5.869,6.268,5.88,26.58,27.942,26.896,27.151,27.411,27.657,27.642,27.646,27.566,27.286,27.963
Poland,5.887,5.646,5.876,5.746,5.75,6.007,6.162,6.201,6.111,6.242,6.166,7.59,8.111,9.185,7.687,8.755,7.078,7.539,9.485,8.729,9.448,12.509
Portugal,5.095,5.22,4.994,5.158,5.127,5.081,5.447,5.711,5.92,6.095,5.929,14.6,15.747,16.25,16.184,15.466,15.671,17.276,16.231,17.949,15.14,14.477
Romania,4.909,5.023,5.167,5.082,5.727,5.777,5.969,6.09,6.151,6.13,6.14,9.06,10.206,10.199,11.809,10.481,9.141,10.15,11.241,11.21,10.887,12.415
Russia,5.385,5.389,5.621,5.537,6.037,5.996,5.855,5.579,5.514,5.441,5.477,-5.47,-3.993,-3.517,-2.76,-3.932,-4.58,-3.493,-3.478,-4.31,-3.736,-3.726
Saudi Arabia,6.307,6.7,6.396,6.495,6.278,6.345,6.474,6.294,6.356,6.561,6.494,25.48,27.538,26.977,27.239,26.02,26.498,26.625,27.316,27.493,27.409,27.901
Senegal,4.372,3.834,3.669,3.647,4.395,4.617,4.595,4.683,4.769,5.489,5.132,28.0,28.926,28.832,28.903,28.967,29.489,29.52,29.028,29.213,28.709,29.683
Serbia,4.461,4.815,5.155,5.102,5.113,5.318,5.753,5.122,5.936,6.241,6.078,10.07,10.898,11.351,13.398,10.828,10.578,10.954,,,,
Slovakia,6.052,5.945,5.911,5.937,6.139,6.162,5.993,6.366,6.235,6.243,6.331,7.52,8.475,8.933,9.383,8.735,7.946,8.725,9.611,10.049,9.703,12.235
Slovenia,6.083,6.036,6.063,5.975,5.678,5.741,5.937,6.167,6.249,6.665,6.461,8.94,10.307,10.594,11.74,10.011,10.283,10.776,10.566,12.315,11.187,13.539
South Africa,4.652,4.931,5.134,3.661,4.828,4.887,4.77,4.514,4.884,5.035,4.956,17.43,17.841,17.427,17.825,18.374,17.926,18.022,19.187,19.099,18.77,19.068
South Korea,6.116,6.947,6.003,5.959,5.801,5.78,5.971,5.874,5.84,5.903,5.845,12.18,13.802,13.335,13.62,14.081,13.196,13.08,13.756,13.22,13.691,12.869
Spain,6.188,6.518,6.291,6.15,6.456,6.381,6.319,6.23,6.513,6.457,6.491,13.62,14.398,15.346,16.35,13.716,15.089,16.29,15.522,17.795,14.815,15.066
Sweden,7.496,7.382,7.56,7.434,7.239,7.289,7.369,7.287,7.375,7.398,7.363,2.27,1.467,4.204,0.799,3.564,1.893,0.772,3.052,2.225,2.859,3.897
Taiwan,6.229,6.309,6.126,6.34,6.363,6.45,6.513,6.359,6.467,6.537,6.584,22.22,21.998,23.507,22.656,23.596,23.254,24.495,24.012,23.145,23.209,23.193
Tajikistan,4.381,4.263,4.497,4.967,4.896,5.124,5.104,5.829,5.497,5.464,5.466,3.85,3.404,5.809,4.188,5.265,4.674,4.797,5.86,5.408,4.893,2.978
Tanzania,3.229,4.074,4.007,3.852,3.483,3.661,2.903,3.347,3.445,3.64,3.623,22.3,23.407,23.579,23.13,22.962,23.23,23.472,,,,
Thailand,6.217,6.664,6.3,6.231,6.985,6.202,6.074,5.939,6.012,6.022,5.985,26.27,27.828,26.514,26.668,26.728,27.186,27.81,27.088,26.954,26.644,27.732
Tunisia,5.131,4.876,4.464,5.246,4.764,5.132,4.521,4.124,4.741,4.315,4.596,19.62,20.786,19.765,22.624,19.415,20.809,20.562,21.201,21.608,20.527,22.9
Turkey,5.49,5.272,5.309,4.888,5.58,5.514,5.326,5.607,5.186,4.872,4.948,11.99,13.841,12.453,14.46,13.348,12.876,11.961,13.909,13.378,13.811,14.932
