Predicted,Actual,Difference
6.018847544058779,6.55,0.5311524559412204
6.2196360759479035,6.358,0.1383639240520962
5.822767184306539,5.333,0.48976718430653854
3.170504390569782,5.164,1.9934956094302176
6.027569586051516,7.14,1.1124304139484833
3.618565072301646,4.419,0.8004349276983538
5.845963245595943,5.84,0.005963245595943079
4.4518084383435905,4.233,0.21880843834359087
5.71071401973775,5.09,0.6207140197377505
4.569953753546827,4.372,0.19795375354682676
5.6268775578405865,5.271,0.3558775578405866
6.004797464376875,5.097,0.9077974643768743
5.9333227425636395,6.136,0.20267725743636067
6.011474295382957,5.225,0.7864742953829573
4.360139705274769,3.661,0.6991397052747685
6.371105794202734,7.029,0.6578942057972661
4.9839251858253775,4.633,0.35092518582537746
6.29381543715898,6.628,0.3341845628410205
6.066349641481732,7.331,1.264650358518268
6.1106092931280465,5.596,0.5146092931280464
6.054779099417974,5.876,0.17877909941797387
5.759983895463019,5.132,0.6279838954630197
6.021077662291326,4.838,1.1830776622913257
5.998750757722082,4.297,1.701750757722082
6.061834613035856,7.247,1.1851653869641439
6.139175626153236,5.848,0.2911756261532359
5.0121618556579755,4.682,0.33016185565797507
5.853664567415134,6.234,0.38033543258486624
5.848564910689774,6.388,0.539435089310226
6.349260274909831,7.327,0.9777397250901689
5.9963404944772485,6.32,0.3236595055227518
6.274612050481245,6.967,0.6923879495187544
3.1842546537657483,3.798,0.6137453462342517
6.061372316471029,5.066,0.9953723164710295
6.215719748187439,6.591,0.3752802518125611
5.660297749562176,5.739,0.07870225043782408
6.175962325957247,6.063,0.11296232595724742
5.4516795485395875,5.037,0.41467954853958755
4.923349471269557,4.955,0.031650528730443384
5.707918629163995,4.348,1.359918629163995
6.232472789197434,6.649,0.41652721080256594
5.8005837523386425,5.857,0.056416247661357666
6.070111947107613,7.401,1.3308880528923872
5.600810496680641,6.465,0.8641895033193592
4.973041420663208,5.124,0.15095857933679202
4.78309816717346,5.481,0.6979018328265401
6.184955070793265,7.303,1.118044929206735
3.027446668122561,3.671,0.6435533318774387
5.927212527039288,6.91,0.9827874729607124
5.8651011985064585,5.006,0.8591011985064583
5.705378414588253,4.453,1.2523784145882528
3.803983373333157,4.193,0.38901662666684267
3.7338301500451294,3.832,0.09816984995487044
5.863425573071055,5.49,0.37342557307105473
5.576611087503295,5.577,0.00038891249670491845
4.851686571275401,5.132,0.2803134287245985
6.287802527498272,6.336,0.048197472501728456
