Predicted,Actual,Difference
7.33444343075638,7.177,0.15744343075638056
5.276881577447725,5.743,0.46611842255227565
6.326278490840705,6.904,0.5777215091592947
5.466006385762606,4.983,0.48300638576260635
6.017351958750708,5.711,0.30635195875070753
5.763621676171178,4.122,1.6416216761711784
3.938059732338748,4.673,0.7349402676612522
5.951139445625967,6.028,0.07686055437403283
6.187977943027448,6.513,0.3250220569725517
3.305337329115755,4.616,1.3106626708842448
3.858997509931165,3.955,0.09600249006883521
6.077408273731453,5.526,0.551408273731453
5.256822834876114,5.687,0.4301771651238866
6.3337699600317965,6.003,0.3307699600317964
6.053227962427527,5.812,0.24122796242752642
5.703733457427449,4.254,1.4497334574274499
6.0242590208288656,6.139,0.11474097917113468
5.971350291338312,5.727,0.24435029133831154
6.193132017922723,4.756,1.437132017922723
5.453582197622065,4.602,0.851582197622065
4.8291448330025,4.66,0.16914483300250005
6.192155068024696,5.148,1.044155068024696
5.318170456120457,5.892,0.5738295438795431
5.987000732453407,7.14,1.1529992675465923
4.714255985369194,4.636,0.07825598536919376
5.547782266703253,5.908,0.36021773329674733
6.3016286103373975,5.955,0.34662861033739745
6.278240992919007,7.788,1.5097590070809934
6.195170247293778,4.72,1.4751702472937787
6.161815438485245,6.697,0.5351845615147548
5.440379809586661,4.277,1.1633798095866608
6.968333526373886,7.245,0.27666647362611396
6.160970307658634,7.382,1.2210296923413653
4.895492899889547,4.31,0.5854928998895472
6.515327674581598,6.76,0.244672325418402
7.3823830509757515,7.364,0.018383050975751658
4.443769418770369,4.905,0.4612305812296311
6.481998844917468,5.736,0.7459988449174686
5.690936140594524,5.58,0.11093614059452417
3.7476027111136085,4.206,0.45839728888639186
6.112628907218229,5.839,0.27362890721822897
6.147570617280188,6.649,0.5014293827198122
5.3802538357177,5.68,0.2997461642822996
5.472836776335119,5.056,0.41683677633511884
3.280520014828738,5.164,1.8834799851712618
5.990050528274734,5.058,0.9320505282747344
6.120969677798447,6.666,0.5450303222015531
5.822425734661988,7.443,1.6205742653380115
5.676041845150136,4.888,0.7880418451501363
6.232870992120643,5.096,1.1368709921206426
6.175269850719592,5.409,0.766269850719592
6.959637013644068,6.804,0.15563701364406768
4.405812616853552,4.617,0.2111873831464477
5.262187976037575,5.924,0.6618120239624252
5.505133122769333,5.132,0.3731331227693335
5.850654741122528,3.965,1.8856547411225284
