,Predicted,Actual,Difference
0,2.7937514781951904,2.694,0.09975147819519048
1,4.578699588775635,5.004,0.4253004112243648
2,6.252038955688477,5.793,0.4590389556884764
3,4.554558277130127,5.062,0.5074417228698733
4,7.122952461242676,7.177,0.05404753875732382
5,7.226977825164795,7.396,0.16902217483520499
6,5.487302303314209,5.168,0.31930230331420884
7,4.55563497543335,4.499,0.05663497543334994
8,5.426360130310059,5.234,0.1923601303100586
9,6.969714164733887,6.892,0.07771416473388637
10,5.453657150268555,5.916,0.4623428497314457
11,5.287618160247803,5.887,0.5993818397521968
12,4.270035743713379,3.461,0.809035743713379
13,6.662230491638184,6.191,0.47123049163818376
14,5.49968957901001,5.099,0.40068957901000957
15,4.498509883880615,4.927,0.42849011611938437
16,4.5439863204956055,5.122,0.5780136795043944
17,4.984644889831543,5.251,0.26635511016845737
18,7.042850971221924,7.175,0.132149028778076
19,4.840298652648926,4.486,0.354298652648926
20,6.7390899658203125,6.436,0.30308996582031256
21,4.825704574584961,5.131,0.3052954254150393
22,5.73128604888916,5.984,0.25271395111083983
23,6.832347393035889,7.141,0.30865260696411134
24,6.012449741363525,5.536,0.4764497413635258
25,6.368523120880127,6.276,0.09252312088012715
26,7.706813812255859,7.649,0.057813812255859354
27,5.596534729003906,5.433,0.16353472900390642
28,5.816590309143066,6.128,0.3114096908569337
29,4.211963176727295,4.005,0.20696317672729503
30,6.271011829376221,6.241,0.030011829376221044
31,7.67039155960083,7.858,0.18760844039916957
32,6.663739204406738,6.666,0.0022607955932620882
33,4.517183780670166,4.659,0.1418162193298338
34,7.161987781524658,7.118,0.043987781524657876
35,5.589020729064941,5.004,0.5850207290649418
36,5.968860626220703,5.409,0.5598606262207033
37,5.8959059715271,6.627,0.7310940284729002
38,5.824016571044922,5.908,0.08398342895507849
39,6.274385452270508,5.936,0.33838545227050787
40,4.072131156921387,3.818,0.25413115692138666
41,5.30983304977417,5.34,0.030166950225829936
42,6.818782806396484,6.962,0.14321719360351537
43,7.054940223693848,6.927,0.12794022369384805
44,6.307549476623535,6.517,0.2094505233764652
45,6.338155269622803,5.794,0.5441552696228031
46,4.703526020050049,4.639,0.0645260200500486
47,5.666739463806152,6.008,0.34126053619384766
48,3.8961896896362305,4.656,0.7598103103637692
49,5.954172134399414,5.297,0.6571721343994144
50,5.112478256225586,5.167,0.05452174377441388
51,6.4648566246032715,6.309,0.15585662460327132
52,6.823509216308594,7.243,0.4194907836914066
53,4.718859672546387,4.416,0.30285967254638635
54,6.6918745040893555,6.91,0.21812549591064467
55,4.7230939865112305,4.314,0.4090939865112304
56,6.575968265533447,6.55,0.025968265533447443
57,5.353485107421875,5.682,0.3285148925781254
58,5.7543768882751465,5.465,0.2893768882751466
59,5.769350528717041,5.65,0.11935052871704066
60,5.019471645355225,4.91,0.10947164535522447
61,7.24209451675415,7.463,0.2209054832458497
62,6.959072113037109,7.37,0.41092788696289073
63,6.315165996551514,5.819,0.4961659965515137
64,4.911463737487793,5.164,0.25253626251220673
65,5.2099785804748535,5.24,0.030021419525146698
66,5.724279403686523,5.472,0.252279403686523
67,6.693788528442383,6.281,0.4127885284423831
68,5.331822872161865,5.68,0.3481771278381345
69,5.530059337615967,5.869,0.338940662384033
70,6.1774821281433105,6.111,0.06648212814331078
71,6.6403303146362305,5.92,0.7203303146362305
72,6.278714179992676,6.151,0.12771417999267598
73,5.651000022888184,5.514,0.13700002288818336
74,5.968052864074707,6.356,0.38794713592529284
75,4.860876560211182,4.769,0.09187656021118151
76,6.670064926147461,6.235,0.4350649261474606
77,6.428717613220215,6.249,0.17971761322021518
78,4.101192951202393,4.884,0.7828070487976078
79,5.717224597930908,5.84,0.12277540206909165
80,6.709385395050049,6.513,0.19638539505004893
81,7.39426326751709,7.375,0.019263267517089844
82,6.075462818145752,5.497,0.5784628181457521
83,3.1186413764953613,3.445,0.3263586235046385
84,6.150550365447998,6.012,0.13855036544799848
85,4.325246810913086,4.741,0.4157531890869137
86,5.625730037689209,5.186,0.43973003768920904
87,3.6445541381835938,4.322,0.6774458618164063
88,4.345844268798828,4.662,0.3161557312011718
89,6.843280792236328,6.604,0.23928079223632803
90,7.1791300773620605,7.233,0.053869922637939105
91,6.795147895812988,6.883,0.08785210418701173
92,5.683282375335693,6.372,0.6887176246643065
93,6.230772018432617,6.205,0.025772018432617116
94,5.14484167098999,5.006,0.13884167098999
95,5.574393272399902,5.296,0.2783932723999021
96,3.6805343627929688,3.058,0.6225343627929689
97,3.5398671627044678,3.616,0.07613283729553233
