Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,57150544,48958754,54155845,42928912,49053393,48696211,52360123,52488614,54210259,54533175
Philippines,82951250,83743662,88406848,95792553,101182148,112142487,122236809,134518537,138924391,144262785
Poland,334606784,333952035,326348212,322225440,309920916,313099147,324011335,337340422,337705742,322626493
Portugal,52989377,51792654,49962624,48161883,47948435,52294060,50455570,54719976,51482481,48597835
Romania,84289722,89518246,86255693,76875894,77432417,77725630,75812802,78077490,76951219,75084050
Russia,1612884814,1664953147,1679866196,1619172892,1622348909,1622861010,1618304258,1646179810,1691360426,1678366791
Saudi Arabia,517715947,497659010,563179493,540805232,601895936,645408616,565750719,579416606,576757836,582149599
Senegal,7280073,7819325,7362867,7853511,8796047,9846348,9858970,9364330,9690405,9822725
Slovakia,38523217,38111953,36021182,35577838,33654497,34484237,34921793,36087338,36087837,33314769
Slovenia,16376444,16360301,15821756,15188914,13531936,13617543,14416657,14264753,14487844,13696428
South Africa,466930008,473948952,461138966,455865944,481884688,451590120,460042968,466103224,472001239,478608101
South Korea,565960803,588403868,583631857,591539853,586547889,595393885,617960077,620610020,634934068,611263215
Spain,283724994,284543848,278850691,252763817,255100206,271687349,260759564,274671262,269654254,252683217
Sweden,53042223,49166901,46692007,45086335,43337555,43336755,42972565,42306816,41766183,42766618
Taiwan,264819644,266485249,255476566,257707694,261243485,257156432,265283768,272450494,273104667,262639350
Tajikistan,2510429,2316371,2904101,2869155,4485478,5162805,6305370,6872691,7473265,8979885
Tanzania,6924924,7752104,9062163,9908124,9900263,10637509,10535291,11018559,11501889,11626306
Thailand,256422255,253800670,270174529,286068737,279994315,283293103,281704745,286336041,292452995,288279747
Tunisia,27102531,25524332,26306407,26865501,27892055,29274620,29008143,29620031,30357093,31012921
Turkey,314380033,339482252,353666209,345220585,361675461,381331944,401239738,425329230,419194747,405126365
Uganda,3569619,3824069,3626987,3754530,4096994,4521906,4805071,5226431,5384767,5531265
Ukraine,294078322,307952841,303952606,297294253,257584689,223911869,234200302,223232151,231694165,223229393
United Arab Emirates,155977248,169174938,217361620,221836126,215906240,239670713,228583456,186623289,188541366,190683060
United Kingdom,512023702,469803790,487795845,477900965,439057507,422490611,399109613,388088374,380138559,369878396
United States,5698055779,5565294401,5367568555,5514029294,5561719216,5412432194,5292267561,5253606130,5424881502,5284696657
Uruguay,6296711,7653820,8593089,7493508,6656284,6655206,6525291,6173543,6251839,6378115
Uzbekistan,103343328,112821860,114923995,109323435,103495202,101791340,105221933,109281509,113938370,110245989
Venezuela,184082980,170400143,190974338,182850122,184136444,170899431,163190556,146673329,129596274,116687785
Vietnam,136113090,145047830,135685893,140893212,159582806,184435588,185432178,182584029,211774129,247708911
Yemen,23151864,20190662,18267549,24976749,24185201,13006337,10425844,10107076,9945288,10255048
Zimbabwe,7864221,9480313,7658857,11616551,11972604,12170460,10814761,10246841,11340575,10374287
