Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,20.885,21.104,21.03,20.65,21.325,21.44,20.698,20.992,20.13,21.098
Philippines,27.942,26.896,27.151,27.411,27.657,27.642,27.646,27.566,27.286,27.963
Poland,8.111,9.185,7.687,8.755,7.078,7.539,9.485,8.729,9.448,12.509
Portugal,15.747,16.25,16.184,15.466,15.671,17.276,16.231,17.949,15.14,14.477
Romania,10.206,10.199,11.809,10.481,9.141,10.15,11.241,11.21,10.887,12.415
Russia,-3.993,-3.517,-2.76,-3.932,-4.58,-3.493,-3.478,-4.31,-3.736,-3.726
Saudi Arabia,27.538,26.977,27.239,26.02,26.498,26.625,27.316,27.493,27.409,27.901
Senegal,28.926,28.832,28.903,28.967,29.489,29.52,29.028,29.213,28.709,29.683
Slovakia,8.475,8.933,9.383,8.735,7.946,8.725,9.611,10.049,9.703,12.235
Slovenia,10.307,10.594,11.74,10.011,10.283,10.776,10.566,12.315,11.187,13.539
South Africa,17.841,17.427,17.825,18.374,17.926,18.022,19.187,19.099,18.77,19.068
South Korea,13.802,13.335,13.62,14.081,13.196,13.08,13.756,13.22,13.691,12.869
Spain,14.398,15.346,16.35,13.716,15.089,16.29,15.522,17.795,14.815,15.066
Sweden,1.467,4.204,0.799,3.564,1.893,0.772,3.052,2.225,2.859,3.897
Taiwan,21.998,23.507,22.656,23.596,23.254,24.495,24.012,23.145,23.209,23.193
Tajikistan,3.404,5.809,4.188,5.265,4.674,4.797,5.86,5.408,4.893,2.978
Tanzania,21.3,21.5,20.9,20.7,21.3,21.6,21.2,21.7,20.9,21.2
Thailand,27.828,26.514,26.668,26.728,27.186,27.81,27.088,26.954,26.644,27.732
Tunisia,20.786,19.765,22.624,19.415,20.809,20.562,21.201,21.608,20.527,22.9
Turkey,13.841,12.453,14.46,13.348,12.876,11.961,13.909,13.378,13.811,14.932
Uganda,24.411,24.107,23.733,24.365,24.242,23.91,23.843,23.983,23.344,23.592
Ukraine,10.236,9.352,9.848,10.039,7.347,8.917,9.388,8.783,9.47,11.904
United Arab Emirates,29.507,29.393,29.097,27.865,28.739,29.451,28.62,29.903,29.842,30.317
United Kingdom,10.05,8.654,8.189,8.823,10.057,8.72,9.704,10.225,10.537,9.118
United States,17.9,17.8,18.3,18.6,17.5,18.8,19.0,18.4,18.6,18.1
Uruguay,17.954,17.163,17.598,17.697,17.596,19.044,15.794,19.59,16.448,20.717
Uzbekistan,14.915,14.224,14.496,13.896,15.012,15.367,14.148,13.767,13.068,13.561
Venezuela,26.696,26.469,26.389,26.487,26.654,26.508,26.298,26.326,26.258,26.568
Vietnam,25.221,24.449,24.753,24.409,24.865,25.327,25.192,24.982,24.517,25.807
Yemen,27.869,27.881,27.338,27.284,27.506,27.742,27.636,27.808,27.651,27.894
Zimbabwe,21.614,22.303,22.384,22.645,22.56,22.364,22.488,22.735,22.55,22.338
